tick,time
860,5.7509
861,3.5758
862,0.0575
863,0.0511
864,1.8036
865,0.5989
866,0.9372
867,0.2645
868,0.5405
869,0.5024
870,0.3583
871,0.1214
872,4.4104
873,3.4334
874,0.5024
875,0.2626
876,0.0567
877,0.0486
878,0.0396
879,5.088
880,0.0563
881,1.4378
882,5.7957
883,0.0439
884,0.0035
885,0.0416
886,1.9947
887,0.0471
888,1.656
889,4.8804
890,5.3065
891,0.1193
892,0.0379
893,3.8719
894,0.0946
895,1.69
896,0.4756
897,4.4617
898,1.484
899,0.5442
900,3.8578
901,0.0329
902,0.3979
903,5.2774
904,0.6282
905,0.0431
906,1.7871
907,0.892
908,3.2419
909,0.0462
910,0.0347
911,0.1148
912,0.0413
913,5.1164
914,2.5662
915,6.3814
916,1.3768
917,1.8155
918,3.1206
919,0.9744
920,0.0573
921,0.2941
922,2.5319
923,3.7577
924,2.6581
925,3.2548
926,0.3502
927,0.2868
928,0.9663
929,0.0521
930,6.5666
931,4.1724
932,3.2095
933,3.554
934,0.2849
935,0.95
936,0.059
937,3.8737
938,0.0452
939,3.579
940,0.8934
941,1.8645
942,0.0477
943,0.0488
944,1.6691
945,0.0436
946,0.5281
947,0.2017
948,0.1374
949,0.0496
950,0.1333
951,0.1287
952,0.0404
953,0.0641
954,0.4368
955,1.5645
956,0.5125
957,0.0432
958,1.2847
