tick,time
536,0.0191
537,0
538,37.8462
539,0.0159
540,0.0149
541,0
542,0.0131
543,0.0159
544,0
545,0.0128
546,0.0137
547,0.0154
548,0.015
549,0.0121
550,84.2115
551,0.0591
552,0
553,0.0122
554,0.012
555,0.0115
556,0.0144
557,0
558,38.9663
559,0.0405
560,0.0146
561,0
562,0.0161
563,0.022
564,0
565,0.0146
566,0.0152
567,0.0143
568,0.0152
569,0.0116
570,0
571,0.0162
572,0
573,0.0119
574,0.0117
575,0.0113
576,0.0147
577,0
578,0.0117
579,0.0134
580,0.0159
581,0
582,0.0135
583,0.0162
584,0
585,0.0125
586,0.0136
587,0.0548
588,0.0147
589,0.0126
590,57.4878
591,0.0157
592,0
593,0.0126
594,0.012
595,0.0122
596,0.0141
597,0
598,0.0121
599,0.0148
600,0.0155
601,0
602,0.5034
603,0.0165
604,0
605,0.0118
606,0.0143
607,0.0157
608,0.0145
609,0.0116
610,0
611,0.0152
612,0
613,0.0697
614,0.012
615,0.0137
616,0.0162
617,0
618,0.039
619,0.0175
620,0.0148
621,0
622,68.8211
623,0.0154
624,0
625,0.0126
626,0.0149
627,43.7732
628,0.0153
629,55.4864
630,0
631,0.0149
632,0
633,0.0127
634,0.0127
635,0.0124
636,0.0147
637,0
638,0.012
639,0.0144
640,0.015
641,0
642,0.0144
643,0.0152
644,0
645,0.0122
646,0.0148
647,0.0279
648,0.0478
649,0.0126
650,96.8489
651,0.0145
652,0
653,106.0391
654,38.4359
655,0.0719
656,0.019
657,0.007
658,0.0164
659,28.0808
660,0.02
661,0.0077
662,0.0196
663,0.0212
664,18.8944
665,0.0164
666,0.0185
667,0.0272
668,0.0211
669,0.0161
670,0.0068
671,0.0491
672,0.0057
673,0.0149
674,0.016
675,0.0153
676,0.5423
677,39.3811
678,0.015
