tick,time
827,0.7851
828,0.116
829,0.1672
830,0.0357
831,0.123
832,5.2081
833,3.8911
834,0.0883
835,0.5595
836,0.8116
837,3.2079
838,0.0364
839,0.0373
840,1.0778
841,1.5763
842,0.0391
843,0.0386
844,0.445
845,4.013
846,0.3946
847,2.9979
848,2.4807
849,0.1608
850,0.036
851,0.1118
852,1.6371
853,0.0577
854,0.0934
855,1.0013
856,0.0567
857,0.0451
858,0.7519
859,0.0385
860,0.054
861,2.3884
862,0.5367
863,1.2921
864,0.6389
865,0.0412
866,0.0635
867,2.1364
868,2.3448
869,1.018
870,0.0352
871,0.8682
872,0.0362
873,0.0604
874,0.4769
875,0.6624
876,0.0534
877,0.0472
878,5.8485
879,2.2125
880,0.8259
881,0.5929
882,2.5049
883,0.047
884,0.9761
885,0.0406
886,0.0664
887,0.8161
888,0.7809
889,3.4154
890,0.7953
891,2.4089
892,0.0389
893,3.8005
894,0.0912
895,1.4263
896,0.053
897,0.5315
898,3.285
899,0.2011
900,1.2956
901,3.8473
902,0.4954
903,0.0421
904,1.2802
905,0.0374
906,0.0634
907,0.0474
908,0.7644
909,0.3986
910,0.036
911,1.8958
912,0.533
913,3.333
914,0.1086
915,4.1726
916,0.447
917,0.0479
918,2.3302
919,0.8869
920,0.0564
921,0.0379
922,2.1019
923,0.7478
924,0.0062
925,1.11
926,0.0694
927,1.5008
928,0.1284
929,0.1094
930,1.5306
931,0.1167
932,2.8238
933,1.5277
934,0.0984
935,0.0482
936,2.1552
937,1.1745
938,0.0405
939,0.41
940,0.0598
941,0.0372
942,0.5027
943,0.0441
944,0.0059
945,0.0418
946,0.288
947,0.2742
948,0.5663
949,0.0501
950,1.1675
951,2.4388
952,0.5037
953,0.277
954,11.7893
955,3.2066
956,0.8531
957,0.0497
958,0.8737
959,0.0413
960,6.1266
961,0.0429
962,4.718
963,0.0485
964,3.3731
965,3.1532
966,0.5646
967,0.0601
968,0.1264
969,4.9623
970,0.0442
971,0.1333
972,0.044
973,1.4831
974,0.095
975,0.1664
976,0.0524
977,2.2027
978,0.5496
979,7.2014
980,1.2341
981,7.1089
982,0.0609
983,7.6032
984,0.5496
985,0.0469
986,0.2392
987,0.0499
988,0.1347
989,0.3551
990,0.0351
991,0.1102
992,0.0394
993,7.4974
994,0.0924
995,1.6944
996,0.055
997,1.1109
998,3.0609
999,2.7871
1000,3.4401
1001,0.034
1002,2.1207
1003,0.043
1004,1.3856
1005,1.4268
1006,0.069
1007,0.1805
1008,0.7594
1009,2.3607
1010,0.5084
1011,1.5511
1012,0.6756
1013,0.059
1014,4.0208
1015,7.7344
1016,0.8008
1017,9.72
1018,0.7469
1019,0.2042
1020,0.0429
1021,0.0323
1022,0.0379
1023,0.0383
1024,5.248
1025,0.4533
1026,5.812
1027,0.0523
1028,6.2744
1029,6.147
1030,2.1974
1031,2.7431
1032,0.0387
1033,1.1365
1034,4.0012
1035,0.1242
1036,10.8359
1037,0.3387
1038,0.1389
1039,7.0809
1040,0.0546
1041,0.0344
1042,1.6897
1043,3.9436
1044,0.0033
1045,3.6444
1046,9.447
1047,2.7054
1048,1.3698
1049,4.3444
1050,2.1171
1051,0.3172
1052,9.6235
1053,3.6934
1054,1.7755
1055,0.0439
1056,0.3206
1057,0.0541
1058,0.0327
1059,1.4442
1060,0.0505
1061,3.8454
1062,0.0442
1063,0.0426
1064,0
1065,0.0401
1066,0.6442
1067,0.0459
1068,1.7441
1069,0.0438
1070,9.914
1071,1.8357
1072,6.0975
1073,0.0559
1074,4.0887
1075,5.387
1076,0.7998
1077,0.0481
1078,0.0368
1079,1.3998
1080,0.256
1081,5.4372
1082,2.5927
1083,8.774
1084,0.0062
1085,1.8658
1086,0.066
1087,0.0478
1088,0.1252
1089,0.0454
1090,1.6116
1091,0.114
1092,0.5604
1093,4.2485
1094,0.0842
1095,0.4149
1096,0.0599
1097,4.909
1098,0.0468
1099,0.254
1100,0.0577
1101,0.7674
1102,2.0772
1103,0.546
1104,5.4753
1105,0.0317
1106,0.0452
1107,0.0474
1108,7.954
1109,0.2896
1110,0.036
1111,1.9085
1112,2.2637
1113,1.3031
1114,0.0886
1115,0.0592
1116,0.0543
1117,0.0424
1118,3.1365
1119,0.2006
1120,0.0441
1121,0.0348
1122,2.0605
1123,0.0417
1124,0.656
1125,0.3829
1126,0.0688
1127,1.4757
1128,4.7268
1129,0.0488
1130,0.2831
1131,0.1146
1132,0.0463
1133,2.3689
1134,0.943
1135,0.0472
1136,1.6257
1137,6.7095
1138,1.5381
1139,0.0255
1140,0.0514
1141,0.0397
1142,0.043
1143,1.2977
1144,1.0369
1145,0.0351
1146,2.2554
1147,0.7358
1148,0.8588
1149,2.4139
1150,0.0433
1151,1.7002
1152,1.307
1153,0.0633
1154,1.5708
1155,2.5622
1156,0.0528
1157,2.7769
1158,0.0359
1159,0.0401
1160,0.0513
1161,1.6931
1162,0.0436
1163,0.7259
1164,1.1884
1165,0.0968
1166,0.1364
1167,0.4834
1168,0.1565
1169,0.9653
1170,0.0372
1171,0.5621
1172,0.8866
1173,0.0683
1174,0.1986
1175,0.0643
1176,0.2285
1177,1.9686
1178,0.0439
1179,0.3498
1180,0.0673
1181,0.0399
1182,1.0087
1183,1.1238
1184,0.7307
1185,0.2085
1186,0.0665
1187,1.8213
1188,1.7437
1189,0.0439
1190,3.4147
1191,0.1158
1192,0.0376
1193,1.0215
1194,1.1905
1195,0.0425
1196,0.1428
1197,0.0468
1198,0.8493
1199,0.2149
1200,0.9753
1201,0.0373
1202,0.0403
1203,1.4191
1204,0.9781
1205,0.037
1206,0.069
1207,0.0463
1208,2.5173
1209,0.0441
1210,0.0338
1211,0.1108
1212,3.9861
1213,0.0692
1214,0.1892
1215,0.9688
1216,8.0779
1217,1.7394
1218,2.2972
1219,0.4191
1220,1.5976
1221,2.3768
1222,1.2307
1223,0.0388
1224,1.7381
1225,0.0375
1226,0.0591
1227,4.9196
1228,5.8016
1229,0.7141
1230,0.0361
1231,1.9375
1232,0.9994
1233,1.608
1234,0.3547
1235,0.0463
1236,0.0657
1237,0.0434
1238,0.0368
1239,7.9271
1240,0.0452
1241,5.6195
1242,1.0419
1243,0.205
1244,0.9532
1245,0.23
1246,4.3011
1247,0.0449
1248,0.5249
1249,3.7186
1250,5.2398
1251,0.1094
1252,0.4331
1253,0.0526
1254,0.5239
1255,1.0906
1256,0.9585
1257,2.7511
1258,1.6829
1259,0.0355
1260,1.7505
1261,0.0384
1262,2.1118
1263,0.0461
1264,0.0083
1265,3.6675
1266,0.9879
1267,0.7352
1268,0.1269
1269,1.3869
1270,1.0787
1271,0.1111
1272,0.5937
1273,0.0616
1274,3.4691
1275,1.2554
1276,0.0554
1277,0.0449
1278,4.4249
1279,0.0389
1280,0.05
1281,0.0359
1282,1.9146
1283,3.7591
1284,0.0028
1285,0.0376
1286,3.7858
1287,0.0476
1288,2.4903
1289,2.8318
1290,3.644
1291,0.1297
1292,1.5685
1293,1.4617
1294,0.0942
1295,1.9902
1296,1.516
1297,0.0605
1298,0.7764
1299,3.2062
1300,0.7942
1301,0.0387
1302,0.0389
1303,5.2221
1304,7.3193
1305,0.0371
